"replicate","mle_mu","mle_xi","mle_tau","postmed_mu","postmed_xi","postmed_tau","true_mu","true_xi","true_tau","diff_postmed_mle_mu","diff_postmed_mle_xi","diff_postmed_mle_tau","diff_postmed_true_mu","diff_postmed_true_xi","diff_postmed_true_tau","edist_postmed_mle","edist_postmed_true"
1,9.6871668097997,0.102716789260515,1.72954625362057,9.69948409218753,0.106773876580118,1.75895238443757,10,0.2,2,0.0123172823878299,0.0040570873196034,0.0294061308170066,-0.300515907812475,-0.093226123419882,-0.241047615562428,0.032138698364547,0.396364571959436
2,10.0176179453335,0.0988322907157713,1.85301073694391,10.0293162262734,0.101935805312325,1.90618081008201,10,0.2,2,0.0116982809399016,0.00310351459655335,0.0531700731381073,0.029316226273437,-0.0980641946876754,-0.0938191899179865,0.0545301591535506,0.138845481739684
3,10.0201318924806,0.245238052976278,1.98927345297085,10.0445429786593,0.241846836393907,2.05211432834086,10,0.2,2,0.0244110861786915,-0.00339121658237082,0.0628408753700078,0.0445429786592868,0.0418468363939069,0.0521143283408625,0.0675009414423303,0.0803189758552692
4,10.2663056790117,0.218817487329704,2.08499333821309,10.2818131428596,0.208994714180334,2.13453014636612,10,0.2,2,0.0155074638478858,-0.00982277314936911,0.049536808153023,0.281813142859626,0.00899471418033448,0.134530146366116,0.0528286254726247,0.31240664630077
5,9.89391631880663,0.196977783285711,1.97145431214382,9.88801063157759,0.211965669696508,2.00790938261104,10,0.2,2,-0.00590568722904372,0.0149878864107975,0.036455070467214,-0.111989368422412,0.0119656696965081,0.00790938261103635,0.039855815679519,0.11290418160646
6,9.64279195732398,0.1468483145863,2.03748547346492,9.63950598035377,0.141743236745847,2.07520258406704,10,0.2,2,-0.00328597697020427,-0.00510507784045286,0.0377171106021246,-0.360494019646227,-0.0582567632541525,0.075202584067041,0.0382026163577666,0.372834034546077
7,10.192520118012,0.139574309399764,2.12490033868313,10.197818227581,0.139298573803232,2.17466460187734,10,0.2,2,0.00529810956900079,-0.000275735596531962,0.0497642631942092,0.197818227581021,-0.0607014261967676,0.174664601877338,0.0500462574663367,0.270784854551703
8,9.65361148609376,0.243876387409425,1.71593670559576,9.63606250076952,0.240332205717306,1.73985080307123,10,0.2,2,-0.017548985324245,-0.00354418169211862,0.0239140974754644,-0.363937499230481,0.0403322057173061,-0.260149196928773,0.0298732684492897,0.449171231076574
9,10.2793363460216,0.102009406380515,2.11333759004279,10.2894889954663,0.101803095938141,2.17423792662479,10,0.2,2,0.0101526494446968,-0.000206310442373708,0.0609003365819998,0.289488995466332,-0.0981969040618587,0.174237926624793,0.0617411520020998,0.351859866335941
10,10.0618077161215,0.218959896042559,2.04016675977474,10.0379621499626,0.221300152662108,2.07755810680733,10,0.2,2,-0.0238455661588617,0.0023402566195489,0.0373913470325835,0.0379621499626239,0.0213001526621076,0.0775581068073263,0.0444094658760166,0.0889386376371399
11,10.6597551889911,0.184503127403025,1.95000475934352,10.6618028596508,0.189158446452617,1.99911590709343,10,0.2,2,0.00204767065969058,0.00465531904959127,0.0491111477499102,0.661802859650791,-0.0108415535473833,-0.000884092906574319,0.049373776277469,0.661892246476383
12,10.0767479026812,0.0286341809400249,1.89855014893215,10.0770003162939,0.0316063385379963,1.93745607275162,10,0.2,2,0.000252413612660263,0.00297215759797136,0.0389059238194669,0.0770003162938728,-0.168393661462004,-0.0625439272483823,0.0390201017639011,0.195441082594186
13,10.3092728217763,0.150425122302019,1.80492834384038,10.3095677986911,0.147007358529164,1.84405840657294,10,0.2,2,0.000294976914855027,-0.00341776377285502,0.0391300627325568,0.309567798691141,-0.0529926414708363,-0.15594159342706,0.0392801467670523,0.350653992700933
14,9.92841362502364,0.226855996024827,1.86786692895988,9.92834948684349,0.229803122698017,1.91054970640192,10,0.2,2,-6.41381801536056e-05,0.00294712667319014,0.0426827774420391,-0.0716505131565093,0.0298031226980171,-0.0894502935980817,0.0427844499730991,0.118420341086011
15,9.67567815025082,0.262454253870126,1.80478097315081,9.64945825484457,0.264327595315784,1.82149313739678,10,0.2,2,-0.0262198954062569,0.00187334144565815,0.0167121642459678,-0.350541745155434,0.0643275953157837,-0.178506862603218,0.0311494583752475,0.3986003695585
16,9.94751405794045,0.198574131175101,1.85247991571442,9.96911331997517,0.186518995556963,1.9040130728603,10,0.2,2,0.0215992620347176,-0.0120551356181373,0.0515331571458784,-0.0308866800248317,-0.0134810044430367,-0.0959869271397014,0.0571622314175879,0.101731089965024
17,10.3195415012248,0.18986755035844,1.93070794162986,10.3364137604925,0.17959696827634,1.98197559140822,10,0.2,2,0.0168722592677018,-0.0102705820820995,0.0512676497783655,0.336413760492498,-0.0204030317236599,-0.0180244085917782,0.0549411494501055,0.337513527517496
18,10.0182986476079,0.28496421339795,1.91852993865897,10.0035721842436,0.28537141759035,1.94129616213946,10,0.2,2,-0.014726463364287,0.000407204192399202,0.0227662234804928,0.00357218424364092,0.0853714175903496,-0.0587038378605369,0.0271170697170203,0.103668606729388
19,9.67588131861078,0.175457242675244,1.6861902474298,9.69442329588121,0.173207641131724,1.71994456300817,10,0.2,2,0.018541977270436,-0.00224960154352008,0.0337543155783715,-0.305576704118788,-0.0267923588682757,-0.280055436991828,0.0385774474060463,0.415362492748818
20,9.7997217061542,0.232365138529631,2.0394826034285,9.79822968995694,0.231814989258339,2.07343133216679,10,0.2,2,-0.00149201619725403,-0.000550149271292572,0.0339487287382894,-0.201770310043056,0.0318149892583385,0.0734313321667868,0.0339859523847652,0.217061309542185
21,10.0248707098286,0.116708903323113,1.89478255108048,10.0275048890755,0.124162053518668,1.93027581557139,10,0.2,2,0.00263417924695197,0.00745315019555572,0.0354932644909081,0.0275048890755194,-0.0758379464813316,-0.0697241844286092,0.0363628955442789,0.106627271107333
22,9.58526241202467,0.198479752228044,1.83864714641735,9.56227886365417,0.197595759609962,1.84919724150294,10,0.2,2,-0.0229835483704992,-0.000883992618081891,0.0105500950855832,-0.437721136345829,-0.00240424039003806,-0.150802758497063,0.0253047316714236,0.462976290479394
23,9.95027255044992,0.191414341610595,2.05862501977936,9.9917709852042,0.189072281267277,2.11501914275348,10,0.2,2,0.041498434754276,-0.00234206034331813,0.0563941229741256,-0.00822901479580374,-0.0109277187327227,0.115019142753481,0.070056423258167,0.115829766989996
24,9.95909825055989,0.260940657614856,2.07062492154359,9.95313139136514,0.262339269036867,2.11015655707482,10,0.2,2,-0.00596685919474993,0.00139861142201059,0.0395316355312274,-0.0468686086348615,0.0623392690368667,0.110156557074819,0.0400038714418186,0.134971545171553
25,10.0406416500983,0.280692858753164,2.26627123159686,10.0571132838283,0.273466192499713,2.32966099308844,10,0.2,2,0.0164716337299993,-0.00722666625345114,0.0633897614915768,0.0571132838282917,0.0734661924997133,0.329660993088438,0.0658923461779364,0.342542813373907
26,9.85865170313316,0.281971546575713,1.77509097660005,9.88087744182402,0.274357451348399,1.82069059865207,10,0.2,2,0.0222257386908584,-0.0076140952273141,0.0455996220520205,-0.119122558175977,0.074357451348399,-0.17930940134793,0.0512960372521313,0.22775222468545
27,9.45801594881204,0.188020443606044,1.77083202426722,9.44408244075363,0.183591817175072,1.8080716524807,10,0.2,2,-0.0139335080584182,-0.00442862643097236,0.0372396282134828,-0.555917559246375,-0.0164081828249282,-0.191928347519301,0.0400068155238271,0.58834518076003
28,9.92808922510473,0.240350567653938,1.83330590589481,9.90576694148142,0.243633050774163,1.85067610535873,10,0.2,2,-0.0223222836233088,0.00328248312022519,0.0173701994639184,-0.0942330585185758,0.0436330507741633,-0.149323894641268,0.0284742492615752,0.18188275879935
29,9.75292127668691,0.219943021088648,1.91861613739722,9.75504939638406,0.222440517305777,1.96122654028043,10,0.2,2,0.00212811969714899,0.00249749621712908,0.0426104028832108,-0.244950603615937,0.0224405173057774,-0.038773459719569,0.0427365512725291,0.249013566311934
30,9.68865037456477,0.350462542412446,1.82115819341332,9.68023271244461,0.347027555401409,1.86278369739513,10,0.2,2,-0.00841766212016637,-0.00343498701103673,0.0416255039818139,-0.319767287555392,0.147027555401409,-0.137216302604867,0.0426067923349702,0.377751947630184
31,9.92136252125021,0.21258964256799,1.87520115451193,9.96587539366294,0.208047232206206,1.94961717679447,10,0.2,2,0.0445128724127333,-0.00454241036178329,0.0744160222825483,-0.0341246063370555,0.00804723220620646,-0.0503828232055257,0.0868318701553976,0.0613813943960128
