"replicate","mle_mu","mle_xi","mle_tau","postmed_mu","postmed_xi","postmed_tau","true_mu","true_xi","true_tau","diff_postmed_mle_mu","diff_postmed_mle_xi","diff_postmed_mle_tau","diff_postmed_true_mu","diff_postmed_true_xi","diff_postmed_true_tau","edist_postmed_mle","edist_postmed_true"
1,9.91468447303295,0.212276048165064,1.95044211593697,9.91756316072986,0.212660882647614,1.95414403202558,10,0.2,2,0.00287868769690647,0.000384834482549862,0.00370191608861559,-0.0824368392701444,0.0126608826476143,-0.0458559679744179,0.00470522296628236,0.0951782549595186
2,10.1561369025303,0.195598808449466,2.01844719259892,10.1538444722966,0.192640854877532,2.02430112999188,10,0.2,2,-0.00229243023365022,-0.00295795357193401,0.00585393739296025,0.153844472296605,-0.00735914512246755,0.0243011299918767,0.00694789958984505,0.155925698946763
3,10.015361664252,0.227958430475284,1.99236974554767,10.0203244512309,0.228358865142272,2.00522672956363,10,0.2,2,0.00496278697892016,0.000400434666988275,0.0128569840159649,0.02032445123087,0.0283588651422721,0.00522672956363257,0.0137873725019469,0.0352792751048678
4,10.0108578586358,0.217606148216894,2.02486859599572,10.009350776327,0.215531128498534,2.02708322584239,10,0.2,2,-0.00150708230881236,-0.00207501971835994,0.00221462984666454,0.00935077632695425,0.0155311284985339,0.0270832258423854,0.00338844939092428,0.0325907056134775
5,9.92961638519728,0.253923847163407,2.01716188010331,9.93087977211144,0.253942768340115,2.02581216349003,10,0.2,2,0.00126338691415917,1.89211767078201e-05,0.00865028338672147,-0.0691202278885577,0.0539427683401149,0.0258121634900301,0.00874207682283713,0.0913985554787246
6,10.0448840724606,0.210036705532396,2.01893784109602,10.0552552522205,0.209512467235557,2.03022136602412,10,0.2,2,0.0103711797598915,-0.000524238296839313,0.0112835249281007,0.0552552522205385,0.00951246723555652,0.03022136602412,0.0153347360657733,0.0636942767854907
7,10.1101330359067,0.227930592049239,2.13696025059697,10.1115716895766,0.22846486898445,2.1430561958738,10,0.2,2,0.00143865366988116,0.000534276935211353,0.00609594527682322,0.111571689576568,0.0284648689844499,0.143056195873797,0.00628615343778568,0.18363977199712
8,10.0313975278211,0.203790316181502,2.07635348225174,10.0295865438773,0.203584368439432,2.076803398905,10,0.2,2,-0.00181098394374324,-0.000205947742070167,0.000449916653256999,0.0295865438773166,0.00358436843943222,0.0768033989050005,0.00187736579063261,0.082383089035764
9,9.99256712880564,0.186736173538084,1.99069524187581,9.98744768895663,0.185892895815918,1.99378379566006,10,0.2,2,-0.00511943984900931,-0.000843277722165636,0.00308855378424333,-0.0125523110433683,-0.0141071041840817,-0.00621620433994274,0.00603812439110765,0.0198799420870868
10,9.91553653198712,0.203528921791296,1.97669645179047,9.91581216674001,0.202990129280253,1.98412104572197,10,0.2,2,0.000275634752892273,-0.000538792511043218,0.00742459393149963,-0.084187833259989,0.00299012928025255,-0.0158789542780349,0.00744921921644272,0.0857244033580185
11,9.99689228268457,0.25616460367326,2.14501157183169,9.98990690221069,0.258087790357609,2.14208009003444,10,0.2,2,-0.00698538047387842,0.00192318668434843,-0.00293148179724323,-0.0100930977893086,0.0580877903576085,0.142080090034445,0.00781586674114045,0.153827221244518
12,10.0977378047203,0.150276211252288,2.05727797510062,10.097975115188,0.150935646602262,2.06642744835393,10,0.2,2,0.000237310467698038,0.000659435349974313,0.00914947325330351,0.0979751151879782,-0.049064353397738,0.0664274483539282,0.00917627549999405,0.128136801369667
13,10.0287681745344,0.192191187151836,2.04316994384844,10.0281424080441,0.193564371067859,2.04087889719489,10,0.2,2,-0.000625766490330193,0.00137318391602281,-0.00229104665355306,0.0281424080440864,-0.00643562893214089,0.0408788971948884,0.00274337612011197,0.0500449466594013
