"replicate","mle_mu","mle_xi","mle_tau","postmed_mu","postmed_xi","postmed_tau","true_mu","true_xi","true_tau","diff_postmed_mle_mu","diff_postmed_mle_xi","diff_postmed_mle_tau","diff_postmed_true_mu","diff_postmed_true_xi","diff_postmed_true_tau","edist_postmed_mle","edist_postmed_true"
1,9.9468679037554,0.190805622513161,1.96139774713867,9.9458169388842,0.19038901091765,1.9704389797586,10,0.2,2,-0.00105096487119916,-0.000416611595511068,0.00904123261992629,-0.0541830611158005,-0.00961098908235025,-0.029561020241399,0.00911163979037956,0.0624662239993104
2,9.93156147499562,0.20899556124166,1.91880787587625,9.931314603974,0.210394051976269,1.92521795394522,10,0.2,2,-0.000246871021618134,0.00139849073460893,0.00641007806897953,-0.0686853960260017,0.0103940519762687,-0.0747820460547752,0.00656550245499262,0.102068968623537
3,9.88497759275044,0.310063138087584,1.85693969316663,9.89797886210333,0.308805335672406,1.87214557003312,10,0.2,2,0.0130012693528911,-0.00125780241517776,0.015205876866482,-0.102021137896667,0.108805335672406,-0.127854429966885,0.0200457916526304,0.19645271418505
4,9.98696725484836,0.208698091481248,2.03079833885062,9.987208048162,0.206287385446585,2.03926363837458,10,0.2,2,0.000240793313638576,-0.00241070603466267,0.00846529952396358,-0.0127919518379986,0.00628738544658503,0.0392636383745826,0.00880515650263356,0.0417707857956922
5,9.95771695547285,0.187666735220894,1.87771097553718,9.95543239742483,0.18766632336783,1.88595303775643,10,0.2,2,-0.00228455804802508,-4.11853063764234e-07,0.0082420622192465,-0.0445676025751709,-0.0123336766321702,-0.114046962243575,0.00855282381850285,0.123065431277645
6,10.0824904353219,0.195447779550975,2.14372852280508,10.0762207396502,0.192901489707987,2.16014212612643,10,0.2,2,-0.00626969567165858,-0.00254628984298808,0.0164136033213516,0.0762207396502212,-0.00709851029201269,0.160142126126428,0.0177538460557255,0.177497860723687
7,9.95592969519389,0.227781233949004,2.04066621462107,9.9646070315512,0.22574369019455,2.04520924891635,10,0.2,2,0.00867733635730872,-0.00203754375445409,0.00454303429527902,-0.0353929684488037,0.02574369019455,0.0452092489163518,0.0100043446270742,0.0629227779745272
8,9.93360581628376,0.205170080434316,1.97878707580443,9.94641185598018,0.203030022548568,1.99448558109718,10,0.2,2,0.0128060396964234,-0.00214005788574778,0.0156985052927512,-0.0535881440198196,0.00303002254856818,-0.00551441890281534,0.0203719799942779,0.0539562696261471
9,10.0680060496007,0.229142734360859,1.89255529162396,10.066057973922,0.231625170992265,1.90118134841754,10,0.2,2,-0.0019480756787047,0.00248243663140579,0.00862605679357853,0.0660579739219962,0.0316251709922652,-0.0988186515824614,0.00918511547477485,0.122999728697038
10,9.90250256303479,0.208298524269335,1.93962521272738,9.89413689925315,0.210276996837587,1.94195221438974,10,0.2,2,-0.0083656637816425,0.00197847256825157,0.00232700166235755,-0.105863100746848,0.0102769968375869,-0.0580477856102621,0.0089058194989245,0.121169955756335
11,10.0809950692286,0.143428561847813,1.88296986972809,10.0727875240823,0.144272327292352,1.886106440907,10,0.2,2,-0.00820754514635702,0.000843765444538375,0.00313657117891775,0.0727875240822584,-0.0557276727076481,-0.113893559092997,0.00882688032179565,0.146203077841426
